Ingredient,Recommended Pairings,Bad Pairings,Health Insights,Health Issues,Cuisine
Banana,"Onion, Cucumber","Coffee, Garlic",Rich in vitamins,Causes fatigue in some cases,Mediterranean
Mango,"Peach, Grapes","Tomato, Watermelon",Rich in vitamins,Can trigger allergies,Turkish
Potato,"Peach, Pineapple","Tomato, Watermelon",High in fiber,Not suitable for people with IBS,Korean
Cucumber,"Orange, Tomato","Ice Cream, Soy Sauce",High in fiber,May upset stomach,French
Pepper,"Pineapple, Broccoli","Pickles, Honey",High in fiber,Possible acid reflux,Indian
Garlic,"Tomato, Onion","Ice Cream, Soy Sauce",High in fiber,May cause bloating,French
Pineapple,"Apple, Banana","Banana, Onion",Rich in vitamins,Causes fatigue in some cases,African
Orange,"Tomato, Grapes","Chocolate, Cheese",Rich in vitamins,May cause bloating,Middle Eastern
Pepper,"Broccoli, Lettuce","Coffee, Garlic",High in fiber,Causes fatigue in some cases,Thai
Mango,"Peach, Potato","Cucumber, Yogurt",Rich in vitamins,Might lead to headaches,Mexican
Pineapple,"Tomato, Apple","Eggs, Fish",Rich in vitamins,Might lead to headaches,Spanish
Lettuce,"Strawberry, Apple","Tomato, Watermelon",High in fiber,Not suitable for people with IBS,Korean
Apple,"Garlic, Banana","Banana, Onion",Rich in vitamins,Can interfere with nutrient absorption,Mediterranean
Pepper,"Garlic, Broccoli","Coffee, Garlic",High in fiber,Not suitable for people with IBS,Spanish
Grapes,"Peach, Grapes","Coffee, Garlic",Rich in vitamins,May upset stomach,Brazilian
Watermelon,"Pepper, Onion","Banana, Onion",Rich in vitamins,May upset stomach,Vietnamese
Peach,"Strawberry, Onion","Cucumber, Yogurt",Rich in vitamins,Possible acid reflux,Caribbean
Tomato,"Blueberry, Garlic","Chocolate, Cheese",High in fiber,May upset stomach,Middle Eastern
Tomato,"Peach, Spinach","Chocolate, Cheese",High in fiber,Can trigger allergies,Mediterranean
Apple,"Pineapple, Cucumber","Coffee, Garlic",Rich in vitamins,Possible acid reflux,German
Pineapple,"Spinach, Cabbage","Chocolate, Cheese",Rich in vitamins,Can interfere with nutrient absorption,Caribbean
Peach,"Carrot, Potato","Chocolate, Cheese",Rich in vitamins,Can interfere with nutrient absorption,Greek
Watermelon,"Onion, Cabbage","Eggs, Fish",Rich in vitamins,Causes fatigue in some cases,Middle Eastern
Banana,"Banana, Cucumber","Cucumber, Yogurt",Rich in vitamins,Can interfere with nutrient absorption,Russian
Peach,"Garlic, Lettuce","Tomato, Watermelon",Rich in vitamins,Not suitable for people with IBS,African
Lettuce,"Spinach, Lettuce","Pickles, Honey",High in fiber,Possible acid reflux,American
Mango,"Cabbage, Grapes","Chocolate, Cheese",Rich in vitamins,Can trigger allergies,Spanish
Blueberry,"Pepper, Watermelon","Coffee, Garlic",Rich in vitamins,May upset stomach,African
Broccoli,"Carrot, Apple","Tomato, Watermelon",High in fiber,Might lead to headaches,German
Peach,"Orange, Broccoli","Banana, Onion",Rich in vitamins,Might lead to headaches,Indian
Tomato,"Onion, Carrot","Pickles, Honey",High in fiber,Possible acid reflux,Japanese
Blueberry,"Spinach, Orange","Coffee, Garlic",Rich in vitamins,Might lead to headaches,French
Apple,"Pineapple, Watermelon","Banana, Onion",Rich in vitamins,Can trigger allergies,Italian
Garlic,"Lettuce, Blueberry","Ice Cream, Soy Sauce",High in fiber,Can trigger allergies,American
Spinach,"Onion, Blueberry","Ice Cream, Soy Sauce",High in fiber,Not suitable for people with IBS,Chinese
Mango,"Lettuce, Tomato","Eggs, Fish",Rich in vitamins,Causes fatigue in some cases,Brazilian
Lettuce,"Mango, Spinach","Tomato, Watermelon",High in fiber,Might lead to headaches,Chinese
Garlic,"Spinach, Banana","Eggs, Fish",High in fiber,Can interfere with nutrient absorption,Thai
Spinach,"Watermelon, Tomato","Coffee, Garlic",High in fiber,Can trigger allergies,Middle Eastern
Tomato,"Blueberry, Peach","Coffee, Garlic",High in fiber,Can trigger allergies,Chinese
Strawberry,"Tomato, Cabbage","Eggs, Fish",Rich in vitamins,May upset stomach,Spanish
Lettuce,"Lettuce, Pineapple","Coffee, Garlic",High in fiber,May cause bloating,Mediterranean
Garlic,"Pepper, Cucumber","Banana, Onion",High in fiber,Possible acid reflux,Middle Eastern
Orange,"Pepper, Broccoli","Coffee, Garlic",Rich in vitamins,Can trigger allergies,Turkish
Onion,"Garlic, Blueberry","Ice Cream, Soy Sauce",High in fiber,Not suitable for people with IBS,American
Spinach,"Strawberry, Lettuce","Eggs, Fish",High in fiber,May upset stomach,Italian
Carrot,"Broccoli, Strawberry","Eggs, Fish",High in fiber,Causes fatigue in some cases,Mediterranean
Cabbage,"Orange, Cucumber","Tomato, Watermelon",High in fiber,Possible acid reflux,German
Cucumber,"Garlic, Orange","Pickles, Honey",High in fiber,Might lead to headaches,German
Pineapple,"Strawberry, Lettuce","Pickles, Honey",Rich in vitamins,Can trigger allergies,African
Carrot,"Pepper, Strawberry","Banana, Onion",High in fiber,May upset stomach,French
Cabbage,"Strawberry, Mango","Coffee, Garlic",High in fiber,May upset stomach,African
Carrot,"Garlic, Cucumber","Eggs, Fish",High in fiber,Can trigger allergies,Thai
Banana,"Lettuce, Strawberry","Pickles, Honey",Rich in vitamins,Not suitable for people with IBS,Vietnamese
Carrot,"Lettuce, Apple","Cucumber, Yogurt",High in fiber,Can interfere with nutrient absorption,Caribbean
Garlic,"Apple, Strawberry","Ice Cream, Soy Sauce",High in fiber,Can trigger allergies,French
Banana,"Spinach, Pepper","Banana, Onion",Rich in vitamins,Possible acid reflux,Caribbean
Watermelon,"Strawberry, Mango","Banana, Onion",Rich in vitamins,May upset stomach,Brazilian
Lettuce,"Banana, Watermelon","Tomato, Watermelon",High in fiber,Not suitable for people with IBS,Brazilian
Broccoli,"Strawberry, Broccoli","Banana, Onion",High in fiber,Causes fatigue in some cases,Thai
Orange,"Blueberry, Cabbage","Pickles, Honey",Rich in vitamins,Possible acid reflux,German
Peach,"Lettuce, Carrot","Cucumber, Yogurt",Rich in vitamins,Can interfere with nutrient absorption,Russian
Pepper,"Peach, Orange","Eggs, Fish",High in fiber,Can interfere with nutrient absorption,Brazilian
Mango,"Grapes, Mango","Tomato, Watermelon",Rich in vitamins,Possible acid reflux,Spanish
Cabbage,"Carrot, Peach","Eggs, Fish",High in fiber,Not suitable for people with IBS,Caribbean
Garlic,"Tomato, Watermelon","Ice Cream, Soy Sauce",High in fiber,Causes fatigue in some cases,Spanish
Strawberry,"Carrot, Grapes","Cucumber, Yogurt",Rich in vitamins,Might lead to headaches,Korean
Pepper,"Tomato, Broccoli","Chocolate, Cheese",High in fiber,May upset stomach,Thai
Onion,"Orange, Grapes","Ice Cream, Soy Sauce",High in fiber,May upset stomach,Greek
Grapes,"Onion, Grapes","Ice Cream, Soy Sauce",Rich in vitamins,Possible acid reflux,French
Lettuce,"Banana, Pineapple","Banana, Onion",High in fiber,May cause bloating,Thai
Lettuce,"Lettuce, Strawberry","Eggs, Fish",High in fiber,May upset stomach,Greek
Pineapple,"Potato, Grapes","Coffee, Garlic",Rich in vitamins,Causes fatigue in some cases,Chinese
Cabbage,"Onion, Garlic","Cucumber, Yogurt",High in fiber,May upset stomach,Indian
Carrot,"Spinach, Tomato","Banana, Onion",High in fiber,May cause bloating,Italian
Pineapple,"Mango, Carrot","Pickles, Honey",Rich in vitamins,Can interfere with nutrient absorption,Vietnamese
Potato,"Cabbage, Mango","Ice Cream, Soy Sauce",High in fiber,Not suitable for people with IBS,Japanese
Banana,"Orange, Pepper","Banana, Onion",Rich in vitamins,May cause bloating,Mexican
Carrot,"Potato, Cucumber","Ice Cream, Soy Sauce",High in fiber,Might lead to headaches,Indian
Pineapple,"Blueberry, Lettuce","Ice Cream, Soy Sauce",Rich in vitamins,Can trigger allergies,Middle Eastern
Potato,"Tomato, Blueberry","Banana, Onion",High in fiber,May cause bloating,American
Cabbage,"Pineapple, Peach","Banana, Onion",High in fiber,Can trigger allergies,Korean
Lettuce,"Pineapple, Cabbage","Chocolate, Cheese",High in fiber,Possible acid reflux,Italian
Pineapple,"Peach, Spinach","Ice Cream, Soy Sauce",Rich in vitamins,May cause bloating,Indian
Carrot,"Mango, Onion","Ice Cream, Soy Sauce",High in fiber,May upset stomach,Korean
Broccoli,"Grapes, Apple","Coffee, Garlic",High in fiber,May cause bloating,Thai
Potato,"Orange, Peach","Eggs, Fish",High in fiber,Can trigger allergies,Caribbean
Cucumber,"Orange, Carrot","Chocolate, Cheese",High in fiber,Can interfere with nutrient absorption,Russian
Potato,"Lettuce, Potato","Tomato, Watermelon",High in fiber,Causes fatigue in some cases,Mexican
Pineapple,"Pineapple, Grapes","Tomato, Watermelon",Rich in vitamins,May upset stomach,Korean
Orange,"Watermelon, Cucumber","Cucumber, Yogurt",Rich in vitamins,Not suitable for people with IBS,Indian
Carrot,"Grapes, Strawberry","Tomato, Watermelon",High in fiber,Possible acid reflux,Caribbean
Carrot,"Spinach, Mango","Ice Cream, Soy Sauce",High in fiber,May cause bloating,German
Spinach,"Grapes, Broccoli","Tomato, Watermelon",High in fiber,May upset stomach,American
Cucumber,"Potato, Pineapple","Eggs, Fish",High in fiber,Causes fatigue in some cases,Middle Eastern
Onion,"Orange, Lettuce","Pickles, Honey",High in fiber,Causes fatigue in some cases,Indian
Strawberry,"Mango, Cucumber","Chocolate, Cheese",Rich in vitamins,May cause bloating,Greek
Blueberry,"Lettuce, Onion","Banana, Onion",Rich in vitamins,Possible acid reflux,Indian
Banana,"Carrot, Mango","Coffee, Garlic",Rich in vitamins,May upset stomach,Indian
Cabbage,"Tomato, Lettuce","Coffee, Garlic",High in fiber,May upset stomach,Mediterranean
Potato,"Mango, Grapes","Pickles, Honey",High in fiber,Not suitable for people with IBS,Mexican
Blueberry,"Apple, Watermelon","Pickles, Honey",Rich in vitamins,Not suitable for people with IBS,Caribbean
Cabbage,"Potato, Carrot","Chocolate, Cheese",High in fiber,Causes fatigue in some cases,Indian
Spinach,"Lettuce, Pineapple","Coffee, Garlic",High in fiber,May cause bloating,American
Carrot,"Lettuce, Cucumber","Eggs, Fish",High in fiber,Possible acid reflux,Italian
Spinach,"Lettuce, Tomato","Chocolate, Cheese",High in fiber,Causes fatigue in some cases,German
Tomato,"Grapes, Carrot","Cucumber, Yogurt",High in fiber,May cause bloating,Chinese
Garlic,"Cabbage, Onion","Coffee, Garlic",High in fiber,May cause bloating,Mediterranean
Potato,"Watermelon, Apple","Eggs, Fish",High in fiber,Not suitable for people with IBS,Mediterranean
Broccoli,"Cucumber, Potato","Ice Cream, Soy Sauce",High in fiber,Can interfere with nutrient absorption,Indian
Lettuce,"Banana, Mango","Tomato, Watermelon",High in fiber,Can trigger allergies,American
Tomato,"Strawberry, Lettuce","Ice Cream, Soy Sauce",High in fiber,May upset stomach,Russian
Blueberry,"Strawberry, Cabbage","Chocolate, Cheese",Rich in vitamins,Possible acid reflux,French
Onion,"Pepper, Carrot","Cucumber, Yogurt",High in fiber,May cause bloating,French
Blueberry,"Broccoli, Banana","Tomato, Watermelon",Rich in vitamins,Not suitable for people with IBS,African
Pepper,"Apple, Spinach","Banana, Onion",High in fiber,Can interfere with nutrient absorption,Vietnamese
Carrot,"Spinach, Grapes","Ice Cream, Soy Sauce",High in fiber,May upset stomach,Japanese
Apple,"Peach, Watermelon","Ice Cream, Soy Sauce",Rich in vitamins,Possible acid reflux,Middle Eastern
Cucumber,"Spinach, Peach","Chocolate, Cheese",High in fiber,Might lead to headaches,American
Pineapple,"Blueberry, Garlic","Banana, Onion",Rich in vitamins,Not suitable for people with IBS,Indian
Spinach,"Grapes, Pepper","Banana, Onion",High in fiber,May upset stomach,Indian
Grapes,"Cucumber, Spinach","Banana, Onion",Rich in vitamins,Causes fatigue in some cases,Vietnamese
Cabbage,"Cucumber, Strawberry","Pickles, Honey",High in fiber,Possible acid reflux,Greek
Pepper,"Apple, Broccoli","Ice Cream, Soy Sauce",High in fiber,Causes fatigue in some cases,Indian
Banana,"Blueberry, Watermelon","Tomato, Watermelon",Rich in vitamins,Causes fatigue in some cases,Turkish
Tomato,"Peach, Banana","Eggs, Fish",High in fiber,Causes fatigue in some cases,Thai
Blueberry,"Mango, Blueberry","Eggs, Fish",Rich in vitamins,Might lead to headaches,Middle Eastern
Garlic,"Potato, Tomato","Ice Cream, Soy Sauce",High in fiber,Can trigger allergies,Indian
Tomato,"Broccoli, Cucumber","Banana, Onion",High in fiber,Possible acid reflux,French
Cucumber,"Tomato, Peach","Eggs, Fish",High in fiber,Not suitable for people with IBS,Korean
Tomato,"Cabbage, Orange","Banana, Onion",High in fiber,Can trigger allergies,Japanese
Carrot,"Potato, Spinach","Eggs, Fish",High in fiber,Possible acid reflux,Indian
Lettuce,"Banana, Broccoli","Ice Cream, Soy Sauce",High in fiber,Not suitable for people with IBS,Caribbean
Orange,"Watermelon, Tomato","Eggs, Fish",Rich in vitamins,Causes fatigue in some cases,Chinese
Banana,"Cabbage, Pepper","Chocolate, Cheese",Rich in vitamins,May upset stomach,Mediterranean
Strawberry,"Tomato, Pepper","Eggs, Fish",Rich in vitamins,Might lead to headaches,Thai
Banana,"Lettuce, Orange","Pickles, Honey",Rich in vitamins,Might lead to headaches,Mexican
Pineapple,"Pineapple, Lettuce","Eggs, Fish",Rich in vitamins,May cause bloating,French
Peach,"Orange, Apple","Ice Cream, Soy Sauce",Rich in vitamins,Can interfere with nutrient absorption,Thai
Cabbage,"Pineapple, Garlic","Eggs, Fish",High in fiber,Not suitable for people with IBS,Spanish
Pineapple,"Peach, Apple","Ice Cream, Soy Sauce",Rich in vitamins,May upset stomach,African
Broccoli,"Tomato, Mango","Chocolate, Cheese",High in fiber,Might lead to headaches,Chinese
Apple,"Garlic, Broccoli","Chocolate, Cheese",Rich in vitamins,May cause bloating,Brazilian
Cabbage,"Tomato, Grapes","Cucumber, Yogurt",High in fiber,Can interfere with nutrient absorption,Spanish
Cucumber,"Onion, Garlic","Chocolate, Cheese",High in fiber,Can trigger allergies,Korean
Orange,"Banana, Pepper","Banana, Onion",Rich in vitamins,Might lead to headaches,German
Cabbage,"Garlic, Lettuce","Pickles, Honey",High in fiber,Not suitable for people with IBS,Middle Eastern
Watermelon,"Apple, Pepper","Ice Cream, Soy Sauce",Rich in vitamins,Causes fatigue in some cases,Chinese
Onion,"Pineapple, Cabbage","Pickles, Honey",High in fiber,Might lead to headaches,Vietnamese
Broccoli,"Garlic, Peach","Ice Cream, Soy Sauce",High in fiber,Not suitable for people with IBS,Indian
Apple,"Pepper, Cucumber","Eggs, Fish",Rich in vitamins,Can trigger allergies,Caribbean
Orange,"Grapes, Pepper","Tomato, Watermelon",Rich in vitamins,Causes fatigue in some cases,Thai
Onion,"Cucumber, Peach","Ice Cream, Soy Sauce",High in fiber,Causes fatigue in some cases,Russian
Spinach,"Blueberry, Garlic","Cucumber, Yogurt",High in fiber,Can trigger allergies,Japanese
Pineapple,"Peach, Carrot","Cucumber, Yogurt",Rich in vitamins,Not suitable for people with IBS,Turkish
Onion,"Spinach, Broccoli","Banana, Onion",High in fiber,May cause bloating,African
Lettuce,"Orange, Banana","Pickles, Honey",High in fiber,Can interfere with nutrient absorption,Turkish
Lettuce,"Cabbage, Tomato","Eggs, Fish",High in fiber,Causes fatigue in some cases,Indian
Carrot,"Potato, Strawberry","Tomato, Watermelon",High in fiber,Not suitable for people with IBS,Middle Eastern
Apple,"Blueberry, Cucumber","Tomato, Watermelon",Rich in vitamins,Might lead to headaches,Brazilian
Apple,"Strawberry, Spinach","Pickles, Honey",Rich in vitamins,Might lead to headaches,French
Potato,"Grapes, Pepper","Coffee, Garlic",High in fiber,Not suitable for people with IBS,Vietnamese
Peach,"Banana, Watermelon","Banana, Onion",Rich in vitamins,Might lead to headaches,Indian
Pineapple,"Orange, Tomato","Coffee, Garlic",Rich in vitamins,Might lead to headaches,Caribbean
Cucumber,"Spinach, Tomato","Chocolate, Cheese",High in fiber,Can interfere with nutrient absorption,Mediterranean
Strawberry,"Onion, Cabbage","Eggs, Fish",Rich in vitamins,Not suitable for people with IBS,Indian
Banana,"Broccoli, Potato","Banana, Onion",Rich in vitamins,May upset stomach,Japanese
Mango,"Cabbage, Carrot","Banana, Onion",Rich in vitamins,Can trigger allergies,Italian
Pepper,"Lettuce, Peach","Ice Cream, Soy Sauce",High in fiber,Might lead to headaches,Turkish
Pepper,"Garlic, Blueberry","Coffee, Garlic",High in fiber,Not suitable for people with IBS,Turkish
Garlic,"Potato, Peach","Coffee, Garlic",High in fiber,Might lead to headaches,Korean
Tomato,"Banana, Orange","Eggs, Fish",High in fiber,May cause bloating,Indian
Pineapple,"Cucumber, Blueberry","Ice Cream, Soy Sauce",Rich in vitamins,Not suitable for people with IBS,Spanish
Mango,"Peach, Watermelon","Banana, Onion",Rich in vitamins,Causes fatigue in some cases,Caribbean
Peach,"Lettuce, Watermelon","Banana, Onion",Rich in vitamins,Not suitable for people with IBS,Caribbean
Watermelon,"Broccoli, Potato","Pickles, Honey",Rich in vitamins,Can trigger allergies,Greek
Pepper,"Grapes, Pepper","Cucumber, Yogurt",High in fiber,May cause bloating,Indian
Watermelon,"Broccoli, Peach","Ice Cream, Soy Sauce",Rich in vitamins,Possible acid reflux,Russian
Banana,"Onion, Lettuce","Eggs, Fish",Rich in vitamins,Possible acid reflux,Brazilian
Apple,"Cucumber, Watermelon","Ice Cream, Soy Sauce",Rich in vitamins,May cause bloating,Korean
Strawberry,"Broccoli, Carrot","Banana, Onion",Rich in vitamins,Not suitable for people with IBS,Mediterranean
Cucumber,"Spinach, Banana","Eggs, Fish",High in fiber,May cause bloating,Spanish
Apple,"Pepper, Banana","Chocolate, Cheese",Rich in vitamins,Can interfere with nutrient absorption,Russian
Watermelon,"Broccoli, Blueberry","Cucumber, Yogurt",Rich in vitamins,Not suitable for people with IBS,French
Tomato,"Onion, Pepper","Ice Cream, Soy Sauce",High in fiber,Might lead to headaches,Russian
Potato,"Pepper, Spinach","Cucumber, Yogurt",High in fiber,Possible acid reflux,Chinese
Watermelon,"Grapes, Spinach","Chocolate, Cheese",Rich in vitamins,Might lead to headaches,Mediterranean
Onion,"Potato, Peach","Tomato, Watermelon",High in fiber,Possible acid reflux,American
Watermelon,"Carrot, Potato","Eggs, Fish",Rich in vitamins,Possible acid reflux,German
Banana,"Broccoli, Onion","Banana, Onion",Rich in vitamins,Possible acid reflux,French
Cabbage,"Strawberry, Grapes","Coffee, Garlic",High in fiber,Possible acid reflux,Turkish
Blueberry,"Lettuce, Mango","Tomato, Watermelon",Rich in vitamins,Might lead to headaches,French
