Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Beef,"['Garlic', 'Thyme', 'Basil']","['Tea', 'Peanut Butter']",Japanese,Summer,Boosts Immunity,30,5,"['E', 'B']"
Tomato,"['Olive Oil', 'Lemon', 'Honey']","['Peanut Butter', 'Tea']",Thai,Summer,Supports Digestion,25,12,"['K', 'B']"
Tomato,"['Rosemary', 'Olive Oil', 'Ginger']","['Coffee', 'Cucumber']",American,Winter,Boosts Immunity,30,2,"['B', 'D']"
Beef,"['Garlic', 'Basil', 'Ginger']","['Orange', 'Chocolate']",Korean,Summer,Rich in Antioxidants,10,5,"['K', 'B']"
Apple,"['Olive Oil', 'Garlic', 'Soy Sauce']","['Tea', 'Cucumber']",American,Summer,Supports Digestion,25,12,"['A', 'K']"
Asparagus,"['Basil', 'Rosemary', 'Lemon']","['Tea', 'Coffee']",Korean,Spring,High in Protein,10,5,"['K', 'A']"
Brussels Sprouts,"['Garlic', 'Thyme', 'Parmesan']","['Coffee', 'Milk']",Italian,Fall,Good for Heart Health,30,12,"['D', 'C']"
Brussels Sprouts,"['Soy Sauce', 'Thyme', 'Garlic']","['Coffee', 'Orange']",Japanese,Fall,Rich in Antioxidants,20,18,"['K', 'A']"
Apple,"['Thyme', 'Olive Oil', 'Soy Sauce']","['Chocolate', 'Coffee']",Korean,Winter,Boosts Immunity,5,2,"['D', 'E']"
Brussels Sprouts,"['Rosemary', 'Olive Oil', 'Parmesan']","['Orange', 'Chocolate']",Mediterranean,Winter,Supports Digestion,5,12,"['K', 'C']"
Apple,"['Soy Sauce', 'Honey', 'Ginger']","['Chocolate', 'Peanut Butter']",Thai,Spring,High in Protein,25,2,"['D', 'K']"
Pumpkin,"['Garlic', 'Honey', 'Ginger']","['Tea', 'Coffee']",Mediterranean,Fall,Supports Digestion,20,8,"['K', 'A']"
Chicken,"['Basil', 'Olive Oil', 'Rosemary']","['Milk', 'Coffee']",Indian,Winter,High in Protein,20,18,"['D', 'B']"
Pumpkin,"['Parmesan', 'Soy Sauce', 'Honey']","['Milk', 'Vinegar']",Indian,Summer,Rich in Antioxidants,20,15,"['B', 'E']"
Salmon,"['Soy Sauce', 'Honey', 'Rosemary']","['Milk', 'Cucumber']",Mexican,Spring,Boosts Immunity,5,8,"['B', 'D']"
Mushroom,"['Thyme', 'Ginger', 'Rosemary']","['Tea', 'Banana']",Italian,Summer,Boosts Immunity,5,12,"['K', 'E']"
Brussels Sprouts,"['Lemon', 'Rosemary', 'Thyme']","['Peanut Butter', 'Chocolate']",Italian,Winter,Boosts Immunity,5,18,"['B', 'K']"
Salmon,"['Garlic', 'Ginger', 'Soy Sauce']","['Orange', 'Milk']",French,Winter,Supports Digestion,25,12,"['A', 'E']"
Asparagus,"['Olive Oil', 'Basil', 'Garlic']","['Tea', 'Chocolate']",Korean,Fall,Supports Digestion,30,8,"['C', 'B']"
Salmon,"['Rosemary', 'Olive Oil', 'Ginger']","['Milk', 'Banana']",Mexican,Summer,Rich in Antioxidants,25,8,"['K', 'D']"
Asparagus,"['Parmesan', 'Basil', 'Rosemary']","['Ketchup', 'Coffee']",Mediterranean,Spring,Good for Heart Health,5,12,"['C', 'K']"
Tomato,"['Soy Sauce', 'Olive Oil', 'Parmesan']","['Orange', 'Ketchup']",Italian,Spring,Good for Heart Health,30,2,"['B', 'A']"
Asparagus,"['Honey', 'Rosemary', 'Ginger']","['Peanut Butter', 'Vinegar']",Italian,Spring,Rich in Antioxidants,30,8,"['K', 'B']"
Tomato,"['Ginger', 'Olive Oil', 'Parmesan']","['Banana', 'Tea']",Thai,Fall,Boosts Immunity,30,15,"['K', 'B']"
Brussels Sprouts,"['Honey', 'Ginger', 'Olive Oil']","['Tea', 'Orange']",Chinese,Winter,Boosts Immunity,20,12,"['A', 'B']"
Chicken,"['Olive Oil', 'Garlic', 'Soy Sauce']","['Tea', 'Chocolate']",Thai,Spring,High in Protein,25,15,"['D', 'C']"
Carrot,"['Ginger', 'Rosemary', 'Olive Oil']","['Cucumber', 'Milk']",Korean,Spring,Good for Heart Health,20,5,"['E', 'A']"
Asparagus,"['Thyme', 'Lemon', 'Basil']","['Milk', 'Chocolate']",Chinese,Spring,Supports Digestion,25,2,"['D', 'C']"
Brussels Sprouts,"['Olive Oil', 'Ginger', 'Thyme']","['Vinegar', 'Cucumber']",Mediterranean,Winter,High in Protein,5,12,"['A', 'E']"
Pumpkin,"['Thyme', 'Parmesan', 'Basil']","['Orange', 'Vinegar']",Italian,Fall,Good for Heart Health,10,5,"['C', 'D']"
Mushroom,"['Rosemary', 'Soy Sauce', 'Basil']","['Peanut Butter', 'Orange']",American,Summer,High in Protein,15,15,"['E', 'C']"
Chicken,"['Parmesan', 'Lemon', 'Soy Sauce']","['Ketchup', 'Coffee']",Korean,Winter,Rich in Antioxidants,20,8,"['A', 'B']"
Beef,"['Lemon', 'Basil', 'Soy Sauce']","['Orange', 'Cucumber']",Thai,Fall,Good for Heart Health,15,18,"['A', 'K']"
Pumpkin,"['Rosemary', 'Parmesan', 'Lemon']","['Cucumber', 'Banana']",French,Winter,Supports Digestion,30,5,"['D', 'K']"
Salmon,"['Ginger', 'Olive Oil', 'Thyme']","['Coffee', 'Tea']",Mexican,Spring,Good for Heart Health,5,2,"['B', 'D']"
Chicken,"['Basil', 'Ginger', 'Olive Oil']","['Ketchup', 'Milk']",American,Spring,Good for Heart Health,5,15,"['C', 'E']"
Carrot,"['Garlic', 'Soy Sauce', 'Honey']","['Ketchup', 'Coffee']",Mediterranean,Fall,Boosts Immunity,25,8,"['A', 'K']"
Salmon,"['Olive Oil', 'Thyme', 'Honey']","['Vinegar', 'Chocolate']",French,Summer,Rich in Antioxidants,25,18,"['C', 'B']"
Tomato,"['Basil', 'Ginger', 'Olive Oil']","['Ketchup', 'Chocolate']",Mediterranean,Fall,Boosts Immunity,5,5,"['B', 'D']"
Pumpkin,"['Parmesan', 'Lemon', 'Olive Oil']","['Orange', 'Vinegar']",Mexican,Fall,High in Protein,20,8,"['B', 'D']"
Tomato,"['Ginger', 'Soy Sauce', 'Olive Oil']","['Chocolate', 'Banana']",Mexican,Fall,High in Protein,5,2,"['A', 'B']"
Beef,"['Honey', 'Soy Sauce', 'Ginger']","['Banana', 'Milk']",Chinese,Fall,High in Protein,30,15,"['A', 'K']"
Apple,"['Lemon', 'Ginger', 'Olive Oil']","['Coffee', 'Vinegar']",French,Spring,High in Protein,5,18,"['E', 'K']"
Asparagus,"['Basil', 'Rosemary', 'Olive Oil']","['Tea', 'Banana']",Mediterranean,Winter,Rich in Antioxidants,5,15,"['C', 'D']"
Apple,"['Honey', 'Lemon', 'Soy Sauce']","['Ketchup', 'Banana']",Thai,Summer,High in Protein,10,8,"['K', 'D']"
Carrot,"['Honey', 'Garlic', 'Rosemary']","['Banana', 'Vinegar']",Thai,Winter,High in Protein,25,12,"['B', 'C']"
Carrot,"['Thyme', 'Soy Sauce', 'Parmesan']","['Peanut Butter', 'Tea']",Italian,Summer,Boosts Immunity,5,8,"['B', 'A']"
Carrot,"['Lemon', 'Thyme', 'Honey']","['Tea', 'Coffee']",Chinese,Summer,Rich in Antioxidants,25,2,"['A', 'E']"
Beef,"['Garlic', 'Honey', 'Thyme']","['Ketchup', 'Chocolate']",French,Summer,Supports Digestion,5,15,"['C', 'K']"
Carrot,"['Soy Sauce', 'Honey', 'Parmesan']","['Banana', 'Chocolate']",French,Winter,Supports Digestion,30,2,"['D', 'B']"
Beef,"['Rosemary', 'Thyme', 'Soy Sauce']","['Banana', 'Vinegar']",French,Spring,Good for Heart Health,25,12,"['C', 'K']"
Mushroom,"['Soy Sauce', 'Garlic', 'Thyme']","['Coffee', 'Ketchup']",Mediterranean,Winter,Supports Digestion,15,15,"['C', 'E']"
Apple,"['Thyme', 'Garlic', 'Honey']","['Tea', 'Cucumber']",Japanese,Fall,Good for Heart Health,30,15,"['D', 'C']"
Chicken,"['Parmesan', 'Thyme', 'Soy Sauce']","['Vinegar', 'Cucumber']",Italian,Winter,Rich in Antioxidants,10,8,"['A', 'B']"
Mushroom,"['Parmesan', 'Garlic', 'Olive Oil']","['Coffee', 'Orange']",American,Winter,Good for Heart Health,25,15,"['K', 'B']"
Beef,"['Soy Sauce', 'Garlic', 'Honey']","['Vinegar', 'Orange']",Japanese,Winter,Rich in Antioxidants,20,15,"['E', 'C']"
Asparagus,"['Olive Oil', 'Parmesan', 'Honey']","['Peanut Butter', 'Tea']",Mexican,Summer,High in Protein,30,8,"['C', 'B']"
Carrot,"['Honey', 'Lemon', 'Ginger']","['Vinegar', 'Peanut Butter']",Indian,Spring,Boosts Immunity,20,12,"['D', 'A']"
Brussels Sprouts,"['Soy Sauce', 'Honey', 'Olive Oil']","['Chocolate', 'Ketchup']",Mexican,Fall,Good for Heart Health,20,8,"['B', 'C']"
Pumpkin,"['Parmesan', 'Basil', 'Rosemary']","['Chocolate', 'Banana']",Korean,Spring,High in Protein,5,2,"['C', 'E']"
Beef,"['Garlic', 'Lemon', 'Ginger']","['Ketchup', 'Chocolate']",American,Spring,Supports Digestion,30,18,"['D', 'B']"
Apple,"['Ginger', 'Rosemary', 'Thyme']","['Cucumber', 'Milk']",Mediterranean,Spring,Good for Heart Health,30,5,"['E', 'A']"
Tomato,"['Thyme', 'Ginger', 'Basil']","['Ketchup', 'Peanut Butter']",Japanese,Fall,High in Protein,15,2,"['B', 'C']"
Beef,"['Parmesan', 'Ginger', 'Thyme']","['Peanut Butter', 'Chocolate']",Italian,Summer,Good for Heart Health,20,2,"['A', 'D']"
Apple,"['Honey', 'Parmesan', 'Basil']","['Vinegar', 'Tea']",Thai,Summer,Supports Digestion,10,12,"['D', 'K']"
Carrot,"['Garlic', 'Ginger', 'Olive Oil']","['Tea', 'Ketchup']",Korean,Spring,Good for Heart Health,30,12,"['D', 'E']"
Beef,"['Parmesan', 'Thyme', 'Soy Sauce']","['Vinegar', 'Coffee']",Indian,Spring,Good for Heart Health,25,12,"['C', 'K']"
Chicken,"['Garlic', 'Basil', 'Lemon']","['Cucumber', 'Coffee']",Mediterranean,Spring,High in Protein,30,8,"['E', 'A']"
Chicken,"['Soy Sauce', 'Rosemary', 'Lemon']","['Milk', 'Peanut Butter']",Italian,Winter,Supports Digestion,10,5,"['B', 'K']"
Apple,"['Garlic', 'Lemon', 'Ginger']","['Peanut Butter', 'Banana']",Indian,Summer,Supports Digestion,15,8,"['K', 'A']"
Asparagus,"['Lemon', 'Parmesan', 'Thyme']","['Ketchup', 'Cucumber']",Indian,Winter,High in Protein,15,5,"['A', 'C']"
Brussels Sprouts,"['Rosemary', 'Soy Sauce', 'Honey']","['Cucumber', 'Tea']",Mediterranean,Summer,Supports Digestion,20,15,"['D', 'C']"
Chicken,"['Parmesan', 'Olive Oil', 'Rosemary']","['Orange', 'Peanut Butter']",Thai,Summer,Supports Digestion,15,5,"['B', 'D']"
Salmon,"['Ginger', 'Basil', 'Honey']","['Orange', 'Milk']",Indian,Fall,Rich in Antioxidants,5,2,"['C', 'A']"
Salmon,"['Honey', 'Rosemary', 'Garlic']","['Chocolate', 'Coffee']",Japanese,Spring,High in Protein,5,8,"['C', 'K']"
Beef,"['Ginger', 'Thyme', 'Basil']","['Cucumber', 'Banana']",Thai,Spring,High in Protein,5,2,"['E', 'A']"
Mushroom,"['Ginger', 'Parmesan', 'Olive Oil']","['Milk', 'Ketchup']",Korean,Fall,Rich in Antioxidants,10,8,"['A', 'K']"
Brussels Sprouts,"['Garlic', 'Ginger', 'Soy Sauce']","['Coffee', 'Milk']",Mexican,Spring,Rich in Antioxidants,5,15,"['A', 'B']"
Pumpkin,"['Olive Oil', 'Garlic', 'Ginger']","['Cucumber', 'Orange']",Japanese,Winter,Good for Heart Health,25,8,"['B', 'D']"
Carrot,"['Garlic', 'Lemon', 'Rosemary']","['Milk', 'Orange']",Thai,Spring,Rich in Antioxidants,20,18,"['A', 'C']"
Apple,"['Parmesan', 'Rosemary', 'Thyme']","['Milk', 'Peanut Butter']",Indian,Summer,Supports Digestion,5,18,"['B', 'E']"
Chicken,"['Honey', 'Rosemary', 'Parmesan']","['Ketchup', 'Peanut Butter']",Indian,Fall,Boosts Immunity,10,15,"['D', 'C']"
Salmon,"['Ginger', 'Thyme', 'Soy Sauce']","['Chocolate', 'Tea']",Indian,Winter,High in Protein,25,18,"['B', 'K']"
Mushroom,"['Parmesan', 'Thyme', 'Honey']","['Ketchup', 'Banana']",Mexican,Winter,Good for Heart Health,30,18,"['B', 'C']"
Chicken,"['Garlic', 'Soy Sauce', 'Rosemary']","['Coffee', 'Chocolate']",French,Summer,Rich in Antioxidants,20,15,"['A', 'K']"
Tomato,"['Honey', 'Soy Sauce', 'Rosemary']","['Cucumber', 'Vinegar']",Thai,Winter,Good for Heart Health,15,15,"['C', 'D']"
Asparagus,"['Ginger', 'Rosemary', 'Basil']","['Banana', 'Tea']",Chinese,Winter,Rich in Antioxidants,10,12,"['C', 'D']"
Mushroom,"['Lemon', 'Olive Oil', 'Soy Sauce']","['Tea', 'Chocolate']",Mediterranean,Summer,Supports Digestion,20,15,"['E', 'B']"
Mushroom,"['Basil', 'Olive Oil', 'Lemon']","['Banana', 'Coffee']",Italian,Spring,Boosts Immunity,20,8,"['A', 'K']"
Carrot,"['Basil', 'Lemon', 'Rosemary']","['Ketchup', 'Banana']",Japanese,Summer,Good for Heart Health,20,18,"['A', 'E']"
Asparagus,"['Soy Sauce', 'Rosemary', 'Olive Oil']","['Milk', 'Vinegar']",Korean,Spring,Rich in Antioxidants,5,8,"['E', 'K']"
Pumpkin,"['Olive Oil', 'Basil', 'Parmesan']","['Banana', 'Coffee']",Chinese,Fall,Supports Digestion,10,18,"['K', 'E']"
Chicken,"['Garlic', 'Honey', 'Soy Sauce']","['Orange', 'Vinegar']",Indian,Summer,Good for Heart Health,5,5,"['C', 'K']"
Asparagus,"['Lemon', 'Basil', 'Honey']","['Peanut Butter', 'Vinegar']",Thai,Winter,High in Protein,5,15,"['A', 'E']"
Mushroom,"['Honey', 'Ginger', 'Lemon']","['Chocolate', 'Tea']",Thai,Fall,Rich in Antioxidants,20,2,"['K', 'C']"
Apple,"['Thyme', 'Garlic', 'Basil']","['Vinegar', 'Milk']",Indian,Fall,Rich in Antioxidants,5,5,"['A', 'K']"
Mushroom,"['Honey', 'Garlic', 'Lemon']","['Ketchup', 'Vinegar']",Thai,Winter,Boosts Immunity,30,2,"['D', 'K']"
Pumpkin,"['Lemon', 'Rosemary', 'Parmesan']","['Milk', 'Cucumber']",Chinese,Summer,Boosts Immunity,5,12,"['K', 'C']"
Asparagus,"['Olive Oil', 'Rosemary', 'Thyme']","['Tea', 'Banana']",Mediterranean,Spring,High in Protein,15,18,"['C', 'B']"
Asparagus,"['Thyme', 'Ginger', 'Soy Sauce']","['Coffee', 'Milk']",Mediterranean,Fall,Boosts Immunity,10,2,"['B', 'C']"
Tomato,"['Basil', 'Garlic', 'Parmesan']","['Orange', 'Vinegar']",Mediterranean,Winter,High in Protein,25,2,"['D', 'B']"
Beef,"['Honey', 'Garlic', 'Parmesan']","['Chocolate', 'Peanut Butter']",American,Spring,Good for Heart Health,20,8,"['D', 'C']"
Tomato,"['Garlic', 'Basil', 'Parmesan']","['Peanut Butter', 'Ketchup']",American,Winter,Good for Heart Health,5,12,"['E', 'K']"
Pumpkin,"['Garlic', 'Parmesan', 'Rosemary']","['Banana', 'Vinegar']",Thai,Summer,Rich in Antioxidants,30,18,"['D', 'E']"
Tomato,"['Thyme', 'Rosemary', 'Ginger']","['Tea', 'Cucumber']",Japanese,Fall,Supports Digestion,15,8,"['C', 'B']"
Carrot,"['Soy Sauce', 'Honey', 'Garlic']","['Ketchup', 'Coffee']",Japanese,Summer,High in Protein,30,5,"['E', 'D']"
Pumpkin,"['Rosemary', 'Parmesan', 'Thyme']","['Chocolate', 'Coffee']",Thai,Spring,Supports Digestion,20,12,"['C', 'E']"
Carrot,"['Lemon', 'Garlic', 'Parmesan']","['Chocolate', 'Orange']",Mexican,Spring,Supports Digestion,15,8,"['E', 'C']"
Brussels Sprouts,"['Basil', 'Honey', 'Olive Oil']","['Tea', 'Milk']",Japanese,Fall,Rich in Antioxidants,20,8,"['D', 'A']"
Chicken,"['Rosemary', 'Garlic', 'Honey']","['Banana', 'Chocolate']",Korean,Summer,High in Protein,15,15,"['C', 'D']"
Tomato,"['Garlic', 'Olive Oil', 'Parmesan']","['Tea', 'Vinegar']",American,Fall,High in Protein,20,8,"['A', 'C']"
Tomato,"['Basil', 'Lemon', 'Thyme']","['Tea', 'Vinegar']",Japanese,Winter,Boosts Immunity,5,12,"['K', 'D']"
Chicken,"['Basil', 'Olive Oil', 'Parmesan']","['Banana', 'Peanut Butter']",Japanese,Summer,Good for Heart Health,25,8,"['K', 'B']"
Brussels Sprouts,"['Olive Oil', 'Soy Sauce', 'Basil']","['Ketchup', 'Cucumber']",Mexican,Fall,Good for Heart Health,15,2,"['D', 'E']"
Carrot,"['Honey', 'Soy Sauce', 'Lemon']","['Ketchup', 'Banana']",French,Fall,Good for Heart Health,10,2,"['E', 'D']"
Brussels Sprouts,"['Lemon', 'Honey', 'Ginger']","['Ketchup', 'Chocolate']",Mexican,Winter,Good for Heart Health,25,5,"['E', 'D']"
Beef,"['Rosemary', 'Honey', 'Ginger']","['Banana', 'Orange']",Japanese,Summer,Boosts Immunity,30,15,"['E', 'C']"
Beef,"['Soy Sauce', 'Ginger', 'Thyme']","['Peanut Butter', 'Vinegar']",Chinese,Winter,High in Protein,10,18,"['C', 'A']"
Mushroom,"['Rosemary', 'Olive Oil', 'Basil']","['Coffee', 'Milk']",Italian,Fall,Boosts Immunity,10,18,"['D', 'K']"
Beef,"['Honey', 'Soy Sauce', 'Parmesan']","['Coffee', 'Peanut Butter']",Mexican,Summer,Rich in Antioxidants,10,8,"['C', 'A']"
Beef,"['Parmesan', 'Ginger', 'Lemon']","['Cucumber', 'Ketchup']",Chinese,Spring,Good for Heart Health,25,18,"['E', 'B']"
Tomato,"['Rosemary', 'Honey', 'Lemon']","['Ketchup', 'Milk']",American,Summer,Boosts Immunity,20,5,"['C', 'K']"
Tomato,"['Thyme', 'Soy Sauce', 'Parmesan']","['Milk', 'Tea']",American,Winter,Good for Heart Health,30,5,"['C', 'D']"
Salmon,"['Olive Oil', 'Rosemary', 'Thyme']","['Peanut Butter', 'Vinegar']",Mexican,Spring,Good for Heart Health,25,18,"['B', 'A']"
Beef,"['Ginger', 'Garlic', 'Lemon']","['Cucumber', 'Milk']",Chinese,Spring,Boosts Immunity,30,15,"['K', 'E']"
Salmon,"['Honey', 'Basil', 'Ginger']","['Vinegar', 'Milk']",Mexican,Fall,High in Protein,25,2,"['K', 'B']"
Salmon,"['Garlic', 'Lemon', 'Thyme']","['Vinegar', 'Cucumber']",Chinese,Spring,High in Protein,20,8,"['D', 'E']"
Mushroom,"['Lemon', 'Olive Oil', 'Ginger']","['Cucumber', 'Ketchup']",Indian,Spring,Supports Digestion,5,15,"['E', 'B']"
Apple,"['Lemon', 'Thyme', 'Ginger']","['Banana', 'Vinegar']",French,Fall,Boosts Immunity,5,8,"['D', 'B']"
Mushroom,"['Soy Sauce', 'Olive Oil', 'Garlic']","['Coffee', 'Vinegar']",Thai,Winter,Boosts Immunity,20,15,"['A', 'D']"
Apple,"['Rosemary', 'Parmesan', 'Lemon']","['Peanut Butter', 'Ketchup']",Mediterranean,Fall,Boosts Immunity,30,8,"['A', 'K']"
Pumpkin,"['Olive Oil', 'Thyme', 'Parmesan']","['Orange', 'Vinegar']",Chinese,Fall,Supports Digestion,30,2,"['A', 'B']"
Beef,"['Garlic', 'Thyme', 'Soy Sauce']","['Vinegar', 'Chocolate']",Italian,Summer,Good for Heart Health,15,5,"['D', 'B']"
Asparagus,"['Honey', 'Olive Oil', 'Basil']","['Ketchup', 'Banana']",Chinese,Fall,High in Protein,5,15,"['B', 'E']"
Brussels Sprouts,"['Honey', 'Thyme', 'Rosemary']","['Peanut Butter', 'Coffee']",Mediterranean,Summer,Rich in Antioxidants,25,15,"['A', 'E']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Garlic']","['Tea', 'Coffee']",French,Winter,Good for Heart Health,25,18,"['D', 'K']"
Mushroom,"['Ginger', 'Rosemary', 'Lemon']","['Orange', 'Cucumber']",Mexican,Winter,Rich in Antioxidants,5,5,"['D', 'B']"
Salmon,"['Rosemary', 'Garlic', 'Olive Oil']","['Orange', 'Peanut Butter']",Indian,Winter,High in Protein,15,12,"['C', 'B']"
Carrot,"['Basil', 'Honey', 'Garlic']","['Chocolate', 'Ketchup']",Italian,Summer,Good for Heart Health,25,18,"['K', 'A']"
Chicken,"['Olive Oil', 'Thyme', 'Basil']","['Banana', 'Coffee']",Mexican,Winter,Good for Heart Health,15,18,"['C', 'E']"
Carrot,"['Lemon', 'Ginger', 'Olive Oil']","['Coffee', 'Milk']",Korean,Summer,Rich in Antioxidants,5,12,"['E', 'D']"
Salmon,"['Rosemary', 'Honey', 'Garlic']","['Chocolate', 'Ketchup']",Japanese,Winter,High in Protein,10,18,"['C', 'K']"
Salmon,"['Soy Sauce', 'Rosemary', 'Honey']","['Banana', 'Vinegar']",French,Spring,Good for Heart Health,5,2,"['D', 'K']"
Beef,"['Ginger', 'Thyme', 'Garlic']","['Coffee', 'Tea']",French,Fall,High in Protein,10,2,"['B', 'E']"
Chicken,"['Honey', 'Lemon', 'Thyme']","['Peanut Butter', 'Chocolate']",Indian,Summer,Rich in Antioxidants,15,8,"['B', 'K']"
Tomato,"['Lemon', 'Thyme', 'Soy Sauce']","['Coffee', 'Cucumber']",Mediterranean,Spring,High in Protein,10,2,"['C', 'A']"
Apple,"['Parmesan', 'Rosemary', 'Soy Sauce']","['Coffee', 'Orange']",Chinese,Spring,Boosts Immunity,10,2,"['E', 'K']"
Beef,"['Thyme', 'Parmesan', 'Basil']","['Banana', 'Cucumber']",French,Winter,Good for Heart Health,30,8,"['C', 'B']"
Apple,"['Garlic', 'Soy Sauce', 'Parmesan']","['Banana', 'Tea']",Chinese,Spring,High in Protein,5,12,"['C', 'B']"
Tomato,"['Thyme', 'Parmesan', 'Rosemary']","['Coffee', 'Milk']",Mexican,Spring,Supports Digestion,5,15,"['A', 'B']"
Asparagus,"['Ginger', 'Olive Oil', 'Rosemary']","['Chocolate', 'Peanut Butter']",Japanese,Spring,Rich in Antioxidants,30,5,"['A', 'C']"
Brussels Sprouts,"['Thyme', 'Garlic', 'Parmesan']","['Coffee', 'Peanut Butter']",Chinese,Summer,Good for Heart Health,15,18,"['D', 'A']"
Pumpkin,"['Soy Sauce', 'Honey', 'Thyme']","['Banana', 'Cucumber']",Chinese,Fall,High in Protein,25,8,"['C', 'E']"
Pumpkin,"['Parmesan', 'Garlic', 'Lemon']","['Coffee', 'Chocolate']",Chinese,Fall,Good for Heart Health,5,5,"['K', 'A']"
Asparagus,"['Garlic', 'Honey', 'Lemon']","['Cucumber', 'Ketchup']",Italian,Fall,Supports Digestion,5,5,"['C', 'E']"
Tomato,"['Garlic', 'Olive Oil', 'Basil']","['Orange', 'Vinegar']",Korean,Fall,Supports Digestion,15,2,"['C', 'A']"
Salmon,"['Olive Oil', 'Parmesan', 'Basil']","['Ketchup', 'Tea']",French,Spring,Rich in Antioxidants,20,15,"['B', 'A']"
Salmon,"['Honey', 'Parmesan', 'Basil']","['Cucumber', 'Chocolate']",Thai,Fall,Supports Digestion,30,5,"['K', 'C']"
Mushroom,"['Thyme', 'Honey', 'Ginger']","['Cucumber', 'Banana']",French,Winter,Rich in Antioxidants,10,5,"['A', 'B']"
Tomato,"['Honey', 'Thyme', 'Lemon']","['Milk', 'Banana']",Mediterranean,Fall,High in Protein,25,5,"['D', 'K']"
Salmon,"['Basil', 'Soy Sauce', 'Honey']","['Chocolate', 'Orange']",Mediterranean,Winter,Supports Digestion,25,8,"['C', 'A']"
Beef,"['Basil', 'Rosemary', 'Parmesan']","['Vinegar', 'Ketchup']",Mediterranean,Spring,Supports Digestion,25,12,"['C', 'B']"
Apple,"['Garlic', 'Honey', 'Soy Sauce']","['Banana', 'Vinegar']",Korean,Winter,Supports Digestion,10,18,"['B', 'A']"
Salmon,"['Soy Sauce', 'Lemon', 'Thyme']","['Banana', 'Tea']",American,Summer,Boosts Immunity,15,5,"['E', 'K']"
Apple,"['Parmesan', 'Olive Oil', 'Ginger']","['Cucumber', 'Coffee']",Mediterranean,Winter,Boosts Immunity,15,12,"['E', 'A']"
Chicken,"['Lemon', 'Thyme', 'Rosemary']","['Coffee', 'Vinegar']",Thai,Spring,Rich in Antioxidants,5,5,"['E', 'B']"
Asparagus,"['Ginger', 'Thyme', 'Lemon']","['Milk', 'Ketchup']",Korean,Winter,Boosts Immunity,15,12,"['C', 'E']"
Brussels Sprouts,"['Soy Sauce', 'Garlic', 'Thyme']","['Orange', 'Vinegar']",Indian,Fall,Supports Digestion,30,18,"['B', 'C']"
Beef,"['Thyme', 'Parmesan', 'Basil']","['Ketchup', 'Coffee']",Korean,Fall,Boosts Immunity,5,12,"['D', 'E']"
Mushroom,"['Garlic', 'Soy Sauce', 'Ginger']","['Orange', 'Ketchup']",American,Fall,Good for Heart Health,30,5,"['K', 'B']"
Asparagus,"['Rosemary', 'Soy Sauce', 'Honey']","['Tea', 'Cucumber']",American,Fall,Good for Heart Health,5,2,"['K', 'B']"
Carrot,"['Basil', 'Olive Oil', 'Rosemary']","['Ketchup', 'Banana']",American,Spring,Rich in Antioxidants,25,15,"['C', 'K']"
Mushroom,"['Rosemary', 'Olive Oil', 'Thyme']","['Vinegar', 'Ketchup']",American,Summer,Good for Heart Health,30,5,"['D', 'K']"
Pumpkin,"['Olive Oil', 'Soy Sauce', 'Thyme']","['Coffee', 'Orange']",Japanese,Fall,Rich in Antioxidants,15,15,"['E', 'D']"
Carrot,"['Ginger', 'Garlic', 'Thyme']","['Cucumber', 'Vinegar']",Japanese,Spring,High in Protein,5,15,"['C', 'B']"
Apple,"['Garlic', 'Parmesan', 'Soy Sauce']","['Peanut Butter', 'Cucumber']",Chinese,Winter,Supports Digestion,20,15,"['D', 'E']"
Brussels Sprouts,"['Olive Oil', 'Basil', 'Parmesan']","['Vinegar', 'Ketchup']",Italian,Winter,Supports Digestion,15,5,"['B', 'K']"
Beef,"['Garlic', 'Soy Sauce', 'Thyme']","['Coffee', 'Tea']",Thai,Winter,Rich in Antioxidants,20,2,"['E', 'B']"
Carrot,"['Soy Sauce', 'Ginger', 'Parmesan']","['Milk', 'Orange']",Chinese,Spring,High in Protein,15,15,"['A', 'C']"
Chicken,"['Soy Sauce', 'Ginger', 'Parmesan']","['Chocolate', 'Milk']",Mexican,Fall,High in Protein,10,15,"['E', 'B']"
Asparagus,"['Thyme', 'Olive Oil', 'Basil']","['Peanut Butter', 'Milk']",Chinese,Fall,Rich in Antioxidants,25,5,"['C', 'D']"
Tomato,"['Garlic', 'Olive Oil', 'Parmesan']","['Orange', 'Banana']",French,Fall,Boosts Immunity,5,12,"['A', 'B']"
Chicken,"['Soy Sauce', 'Lemon', 'Honey']","['Cucumber', 'Tea']",American,Summer,Boosts Immunity,30,12,"['K', 'B']"
Salmon,"['Honey', 'Garlic', 'Ginger']","['Milk', 'Chocolate']",Indian,Spring,Good for Heart Health,30,18,"['E', 'A']"
Carrot,"['Olive Oil', 'Thyme', 'Rosemary']","['Peanut Butter', 'Coffee']",American,Winter,Supports Digestion,30,12,"['B', 'K']"
Asparagus,"['Thyme', 'Olive Oil', 'Rosemary']","['Ketchup', 'Cucumber']",Indian,Fall,Good for Heart Health,20,18,"['K', 'D']"
